No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [km/h]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [cm]","Pitch Break Ind (V) [cm]","Pitch Break (H) [cm]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [km/h]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [km/h]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [cm]","pfxz [cm]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s˛]","ay [m/s˛]","az [m/s˛]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/09/07,11:49:32,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jared White",{6AF64B61-8D6D-4B39-9999-C8EBDDB6BEDA},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Swinging Strikeout",,,,,,,124.561,2.044,-0.028,2533.00,98.867,9:15,1.681,0.144,1.928,-85.103,2.522,-16.164,1.152,-0.123,112.696,-6.221,-1.841,0.486,,,,,,,,,,,,11.793,1.840,-0.146,15.240,1.711,0.190,-34.419,0.896,1.810,6.832,-9.528,"Coe College","Coe College",,,,,{E26D9141-4648-40D2-A0CA-4112DC02C3E3},0.123,1.148
2,2019/09/07,11:52:02,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Reid Rausch",{511A0BD3-6349-4460-8B2F-361A7FDDA864},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,150.809,-3.601,-3.777,2558.00,206.883,1:0,1.866,0.403,1.526,-4.234,57.609,29.205,0.776,-0.304,137.689,-4.106,-1.084,0.413,,,,,,,,,,,,-20.608,40.650,-0.294,15.240,1.758,2.474,-41.345,-2.517,-4.633,8.578,-0.672,"Coe College","Coe College",,,,,{B8A03859-8602-4629-A05E-1B83515E6DBE},0.306,0.773
3,2019/09/07,11:54:38,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,132.543,3.731,-0.470,1516.00,277.033,3:15,1.130,0.276,2.132,-80.725,-2.885,23.388,1.093,0.385,118.760,-4.374,1.260,0.456,,,,,,,,,,,,-17.262,-2.130,-0.277,15.240,1.233,0.350,-36.330,1.825,-2.948,7.692,-10.174,"Coe College","Coe College",,,,,{C45FF777-2D23-446B-9006-5465C6A5CF9A},-0.396,1.085
4,2019/09/07,11:54:48,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,130.717,2.709,-1.461,1500.00,256.276,2:30,1.092,0.365,2.117,-67.806,12.070,49.422,0.917,0.318,117.252,-4.294,1.257,0.462,,,,,,,,,,,,-36.505,8.915,-0.379,15.240,1.157,1.388,-35.922,1.245,-6.070,7.772,-8.328,"Coe College","Coe College",,,,,{A0D0EC6A-8FB7-437D-8CAB-E93297A3FBF0},-0.346,0.916
5,2019/09/07,11:55:00,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Swinging Strike",,,,,,,130.465,3.271,-2.623,1997.00,281.104,3:15,1.126,0.406,2.126,-83.895,-4.049,20.633,0.910,-0.008,117.323,-5.256,-0.486,0.462,,,,,,,,,,,,-15.201,-2.983,-0.325,15.240,1.241,1.299,-35.757,1.425,-2.535,6.938,-10.308,"Coe College","Coe College",,,,,{6597F842-A2F9-44EE-87BE-477DA8D14162},0.000,0.894
6,2019/09/07,11:55:12,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,131.910,3.745,-1.881,2028.00,310.807,4:15,1.110,0.416,2.162,-98.697,-20.678,23.950,0.903,0.198,118.627,-5.655,0.280,0.456,,,,,,,,,,,,-17.619,-15.212,-0.350,15.240,1.181,0.949,-36.106,1.978,-3.011,6.742,-12.410,"Coe College","Coe College",,,,,{DC81E37A-C231-40EF-9A8B-9C36B92E504E},-0.219,0.894
7,2019/09/07,11:55:23,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,133.988,4.289,-2.612,2127.00,246.988,2:15,1.035,0.418,2.108,-67.701,8.121,19.121,1.090,-0.045,120.519,-4.262,-0.696,0.450,,,,,,,,,,,,-14.075,5.978,-0.345,15.240,1.210,1.435,-36.749,1.560,-2.474,7.476,-8.759,"Coe College","Coe College",,,,,{A234C803-CCC2-4B66-8166-81C78BFDFFC1},0.040,1.090
8,2019/09/07,11:55:36,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},L,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,135.542,1.876,-1.746,2107.00,208.925,1:0,1.292,0.287,2.158,-32.786,41.855,23.129,1.205,0.000,121.237,-2.762,-0.235,0.446,,,,,,,,,,,,-16.989,30.744,-0.293,15.240,1.358,1.340,-37.153,0.563,-3.040,7.911,-4.309,"Coe College","Coe College",,,,,{4DFF9E3F-EB08-4820-A494-81C3C5FCE0FD},0.001,1.218
9,2019/09/07,11:56:00,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Slider,,Ball,,,,,,,117.243,3.162,1.656,2535.00,48.043,7:30,1.400,0.300,2.416,-132.048,-34.271,-38.120,0.834,0.487,104.965,-7.726,-0.657,0.507,,,,,,,,,,,,28.783,-25.877,-0.295,15.240,1.394,-1.242,-32.155,1.944,3.825,6.361,-13.248,"Coe College","Coe College",,,,,{EEF68E44-778A-4036-BD92-2BEA1866F173},-0.448,0.785
10,2019/09/07,11:56:13,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,134.576,3.239,-0.808,2163.00,219.305,1:15,1.271,0.314,2.169,-55.661,19.048,15.594,1.453,0.218,120.986,-2.240,0.101,0.446,,,,,,,,,,,,-11.499,14.046,-0.309,15.240,1.335,0.612,-37.033,1.803,-2.048,7.752,-7.309,"Coe College","Coe College",,,,,{1B353F57-2643-4676-8A62-1BDE1DE77EA0},-0.232,1.450
11,2019/09/07,11:56:26,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,131.967,3.263,-0.278,2104.00,297.506,4:0,1.095,0.310,2.082,-89.753,-10.930,20.991,0.891,0.251,118.270,-5.083,0.123,0.459,,,,,,,,,,,,-15.357,-7.996,-0.328,15.240,1.160,0.648,-36.103,1.704,-2.613,7.034,-11.170,"Coe College","Coe College",,,,,{09CE6451-3BB0-417B-B280-FF013143D2A0},-0.290,0.866
